item_id,frame_id,gt_index,mask_iou,normalized_mssd,mspd_px
s000025-i000010-p000018,s000025-i000010,19,0.8385703063629222,0.07194170123015853,3.0499983395553505
s000025-i000010-p000019,s000025-i000010,21,0.8145591465327895,0.04431972523836903,4.349476871175137
s000025-i000010-p000016,s000025-i000010,0,0.8078920041536864,0.07279683469088137,6.736484154709662
s000025-i000010-p000010,s000025-i000010,27,0.7878684030157642,0.06664782542623456,5.838327904474915
s000025-i000010-p000029,s000025-i000010,45,0.7861930294906166,1.2572576481120428,147.98871452611843
s000025-i000010-p000012,s000025-i000010,6,0.7821708317791869,0.07777923313655037,2.558996891468008
s000025-i000010-p000038,s000025-i000010,32,0.7805440295066851,0.05993685363105653,5.3433986785795655
s000025-i000010-p000008,s000025-i000010,39,0.7797894736842105,0.052231567362405015,5.703140748247218
s000025-i000010-p000033,s000025-i000010,13,0.7777777777777778,1.0493373786833287,126.43040512226428
s000025-i000010-p000021,s000025-i000010,12,0.7753682487725041,0.05269708440306989,5.3162687379515425
s000025-i000010-p000000,s000025-i000010,11,0.7741799831791422,0.09396750848359783,7.41521142017872
s000025-i000010-p000030,s000025-i000010,16,0.7511944138184491,0.057173815135193234,3.8827256363001985
s000025-i000010-p000044,s000025-i000010,23,0.7406542056074766,0.08089741619465941,5.979346534100204
s000025-i000010-p000026,s000025-i000010,15,0.7363782051282052,1.1962591820017363,143.35180072566234
s000025-i000010-p000027,s000025-i000010,40,0.7212212212212212,0.3185090861570642,39.9411688189425
s000025-i000010-p000028,s000025-i000010,46,0.7196502057613169,0.16610155591118334,5.500551545924701
s000025-i000010-p000034,s000025-i000010,54,0.7118553960659224,0.8777488796906546,100.87990429931178
s000025-i000010-p000023,s000025-i000010,48,0.7048300536672629,0.07033344967142402,6.074434428928184
s000025-i000010-p000040,s000025-i000010,35,0.7018920166128289,0.08105806031049274,7.941235294543204
s000025-i000010-p000037,s000025-i000010,26,0.6825613079019074,0.06518972082753004,2.8941569737340913
s000025-i000010-p000002,s000025-i000010,8,0.6768695652173913,0.08004563310013897,5.454896330283153
s000025-i000010-p000013,s000025-i000010,17,0.673411430599929,0.054594877820640146,2.9429460747130958
s000025-i000010-p000007,s000025-i000010,3,0.6552677029360967,0.026669312801021448,3.2952676723429795
s000025-i000010-p000022,s000025-i000010,33,0.654089861751152,0.16568321052810944,14.267788753321684
s000025-i000010-p000020,s000025-i000010,38,0.6497695852534562,1.1195945967009175,134.36359309873563
s000025-i000010-p000032,s000025-i000010,14,0.6455399061032864,1.2162317086571248,117.9969715805382
s000025-i000010-p000041,s000025-i000010,22,0.6402291917973462,0.048283031771235704,3.6326961200515773
s000025-i000010-p000036,s000025-i000010,10,0.6322617033276932,0.06323112853160563,5.448141405892532
s000025-i000010-p000011,s000025-i000010,18,0.6236670106639147,0.07196082233263129,5.118652357121875
s000025-i000010-p000014,s000025-i000010,28,0.6211531659002476,1.0561627376251594,136.6692169944277
s000025-i000010-p000001,s000025-i000010,7,0.6140939597315436,0.041278415476509005,3.984385881407718
s000025-i000010-p000039,s000025-i000010,2,0.6117581808097615,0.05786379471716084,5.064473058533105
s000025-i000010-p000003,s000025-i000010,9,0.6036997509782995,0.05078869910478696,4.796289358397467
s000025-i000010-p000046,s000025-i000010,41,0.5953134895503484,0.4307000783798037,50.21414836005033
s000025-i000010-p000015,s000025-i000010,31,0.5818112633181126,0.20103954665610577,17.506791616741374
s000025-i000010-p000009,s000025-i000010,53,0.568870523415978,0.11863202575424424,8.66764619983839
s000025-i000010-p000025,s000025-i000010,29,0.5531505531505532,0.1834532868512376,15.914118549709286
s000025-i000020-p000006,s000025-i000020,5,0.8280898876404494,0.8850970798296596,91.11245255545718
s000025-i000020-p000005,s000025-i000020,0,0.7935192162773173,0.10693827593533838,7.718434866574169
s000025-i000020-p000022,s000025-i000020,10,0.7816011235955056,0.06384881294464695,6.922131858100731
s000025-i000020-p000031,s000025-i000020,32,0.7791072250345145,0.09875896564931498,6.848963323077355
s000025-i000020-p000007,s000025-i000020,7,0.7771664374140302,0.05195181532215123,4.470447542233646
s000025-i000020-p000003,s000025-i000020,4,0.7760714285714285,0.06286244522583502,5.280025647004154
s000025-i000020-p000010,s000025-i000020,20,0.7608125819134993,0.08750209618408868,6.160431097815974
s000025-i000020-p000035,s000025-i000020,13,0.7520053475935828,0.06797725898129946,7.2938146046599694
s000025-i000020-p000029,s000025-i000020,40,0.7452491011813046,0.0716213602526236,7.140593318322254
s000025-i000020-p000032,s000025-i000020,33,0.7433628318584071,1.2405889535341361,149.4378734387521
s000025-i000020-p000016,s000025-i000020,46,0.7348976535197205,0.9442965807393704,113.51162871630363
s000025-i000020-p000034,s000025-i000020,45,0.72808701215611,0.1442725993301673,14.328515706841163
s000025-i000020-p000023,s000025-i000020,1,0.7250625670361102,0.07446673502282893,7.24286339669745
s000025-i000020-p000036,s000025-i000020,54,0.7241192411924119,0.101957321073273,8.42525358432024
s000025-i000020-p000033,s000025-i000020,27,0.7186533837169358,0.07743634583704251,5.905379866986851
s000025-i000020-p000027,s000025-i000020,14,0.7094929470072436,0.06834137289826253,7.269075619555177
s000025-i000020-p000012,s000025-i000020,39,0.7057692307692308,0.055612273810161046,6.350449025783145
s000025-i000020-p000037,s000025-i000020,22,0.6981740064446831,0.030514184196393766,3.4144104626776834
s000025-i000020-p000017,s000025-i000020,16,0.6964218455743879,0.05547981423968039,4.509802833684315
s000025-i000020-p000004,s000025-i000020,11,0.695852534562212,0.12309248051997929,8.252610574470157
s000025-i000020-p000009,s000025-i000020,12,0.6934760096651709,0.0639427769956922,6.127213215788743
s000025-i000020-p000026,s000025-i000020,38,0.6880296610169492,0.3816138576687627,47.448967473494974
s000025-i000020-p000013,s000025-i000020,44,0.6811064718162839,1.1213725835163106,131.96062769530334
