item_id,pose_max_abs,rotation_element_max_abs,translation_max_abs_m,top_score_abs,score_margin_abs
s000010-i000040-p000027,0.0008297283202409744,0.0008297283202409744,1.8222257494926453e-05,0.0078125,0.0
s000010-i000040-p000028,5.351752042770386e-05,5.351752042770386e-05,1.6614794731140137e-06,0.046875,0.0
s000010-i000040-p000029,0.00019565969705581665,0.00019565969705581665,1.292489469051361e-05,0.01953125,0.0078125
s000010-i000040-p000030,9.948015213012695e-05,9.948015213012695e-05,7.003545761108398e-07,0.015625,0.001953125
s000010-i000040-p000031,0.003589702391764149,0.003589702391764149,9.337067604064941e-05,0.0126953125,0.001953125
s000010-i000040-p000032,1.4602896571159363,1.4602896571159363,5.7578086853027344e-05,0.046875,0.0
s000010-i000040-p000033,4.571676254272461e-05,4.571676254272461e-05,8.344650268554688e-07,0.04779052734375,6.103515625e-05
s000010-i000040-p000034,1.9614610075950623,1.9614610075950623,0.023560792207717896,1.5,0.09375
s000025-i000000-p000000,1.304117113351822,1.304117113351822,0.00014104321599006653,0.09375,0.0
s000025-i000000-p000001,1.9800130724906921,1.9800130724906921,2.4586915969848633e-05,0.14453125,0.0
s000025-i000000-p000002,8.183717727661133e-05,8.183717727661133e-05,3.4123659133911133e-06,0.017578125,0.00048828125
s000025-i000000-p000003,0.0025836676359176636,0.0025836676359176636,3.042072057723999e-05,0.01953125,0.0
s000025-i000000-p000004,1.9951744079589844,1.9951744079589844,9.70163382589817e-05,0.046875,0.015625
s000025-i000000-p000005,0.00034965574741363525,0.00034965574741363525,2.364814281463623e-05,0.046875,0.015625
s000025-i000000-p000006,6.35385513305664e-05,6.35385513305664e-05,3.0994415283203125e-06,0.0546875,0.0
s000025-i000000-p000007,1.8962428569793701,1.8962428569793701,0.01900322735309601,0.21875,0.015625
s000025-i000000-p000008,0.00012783706188201904,0.00012783706188201904,6.549060344696045e-06,0.0,0.015625
s000025-i000000-p000009,0.18922385573387146,0.18922385573387146,0.00029327021911740303,0.171875,0.015625
s000025-i000000-p000010,0.0011054091155529022,0.0011054091155529022,2.7991831302642822e-05,0.1875,0.015625
s000025-i000000-p000011,0.00019681453704833984,0.00019681453704833984,1.5200581401586533e-05,0.02734375,0.0
s000025-i000000-p000012,0.8879386819899082,0.8879386819899082,8.991360664367676e-05,0.015625,0.0
s000025-i000000-p000013,7.423758506774902e-05,7.423758506774902e-05,1.7434358596801758e-06,0.03125,0.0
s000025-i000000-p000014,0.45382022857666016,0.45382022857666016,0.0010812729597091675,0.09375,0.0
